x,p
1.0,0.0
0.999998,-0.002
0.9999940000040001,-0.0039999960000000005
0.9999880000200001,-0.005999984000008
0.9999800000600001,-0.007999960000048
0.9999700001399999,-0.009999920000168
0.9999580002799995,-0.011999860000448
0.9999440005039985,-0.013999776001008
0.9999280008399964,-0.015999664002015995
0.9999100013199927,-0.01799952000369599
0.9998900019799865,-0.019999340006335974
0.9998680028599761,-0.02199912001029595
0.9998440040039601,-0.0239988560160159
0.999818005459936,-0.02599854402402382
0.9997900072799011,-0.02799818003494369
0.9997600095198516,-0.029997760049503493
0.999728012239783,-0.031997280068543195
0.99969401550369,-0.03399673609302276
0.9996580193795659,-0.035996124124030145
0.9996200239394031,-0.037995440162789273
0.9995800292591924,-0.03999468021066808
0.9995380354189233,-0.04199384026918646
0.9994940425025832,-0.04399291634002431
0.9994480505981582,-0.04599190442502948
0.999400059797632,-0.04799080052622579
0.9993500701969862,-0.04998960064582106
0.9992980818962,-0.05198830078621503
0.9992440949992499,-0.05398689695000743
0.99918810961411,-0.055985385140005936
0.9991301258527507,-0.05798376135923416
0.9990701438311398,-0.059982021610939656
0.9990081636692412,-0.061980161898601935
0.9989441854910153,-0.06397817822594042
0.9988782094244183,-0.06597606659692244
0.9988102356014025,-0.06797382301577128
0.9987402641579155,-0.06997144348697408
0.9986682952339002,-0.07196892401528991
0.9985943289732945,-0.07396626060575771
0.9985183655240307,-0.0759634492637043
0.998440405038036,-0.07796048599475236
0.9983604476712311,-0.07995736680482843
0.9982784935835309,-0.08195408770017089
0.9981945429388436,-0.08395064468733796
0.9981085959050704,-0.08594703377321564
0.9980206526541053,-0.08794325096502578
0.997930713361835,-0.089939292270334
0.9978387782081379,-0.09193515369705767
0.9977448473768845,-0.09393083125347394
0.9976489210559363,-0.09592632094822771
0.997550999437146,-0.09792161879033959
0.9974510827163567,-0.09991672078921388
0.997349171093402,-0.10191162295464659
0.9972452647721052,-0.1039063212968334
0.9971393639602788,-0.10590081182637762
0.9970314688697245,-0.10789509055429818
0.9969215797162324,-0.10988915349203762
0.996809696719581,-0.11188299665147008
0.9966958201035361,-0.11387661604490924
0.996579950095851,-0.11587000768511632
0.9964620869282657,-0.11786316758530803
0.9963422308365065,-0.11985609175916456
0.9962203820602857,-0.12184877622083758
0.9960965408433008,-0.12384121698495815
0.9959707074332341,-0.12583341006664475
0.9958428820817526,-0.12782535148151122
0.995713065044507,-0.12981703724567473
0.9955812565811312,-0.13180846337576374
0.9954474569552423,-0.133799625888926
0.9953116664344395,-0.1357905208028365
0.9951738852903038,-0.13778114413570536
0.9950341137983976,-0.13977149190628596
0.9948923522382637,-0.14176156013388275
0.9947486008934253,-0.14375134483835927
0.9946028600513852,-0.14574084204014612
0.994455130003625,-0.1477300477602489
0.9943054110456047,-0.14971895802025614
0.9941537034767624,-0.15170756884234735
0.9940000076005131,-0.15369587624930087
0.9938443237242486,-0.1556838762645019
0.9936866521593366,-0.1576715649119504
0.9935269932211204,-0.15965893821626906
0.9933653472289177,-0.1616459922027113
0.9932017145060205,-0.16363272289716915
0.9930360953796943,-0.1656191263261812
0.9928684901811773,-0.16760519851694058
0.99269889924568,-0.16959093549730295
0.9925273229123842,-0.1715763332957943
0.9923537615244425,-0.17356138794161907
0.9921782154289779,-0.17554609546466796
0.9920006849770824,-0.1775304518955259
0.9918211705238169,-0.17951445326548007
0.9916396724282104,-0.18149809560652772
0.991456191053259,-0.18348137495138414
0.9912707267659255,-0.18546428733349066
0.9910832799371385,-0.1874468287870225
0.9908938509417916,-0.18942899534689678
0.9907024401587429,-0.19141078304878037
0.9905090479708137,-0.19339218792909785
0.9903136747647887,-0.19537320602503946
0.9901163209314141,-0.19735383337456905
0.9899169868653976,-0.1993340660164319
0.9897156729654075,-0.2013138999901627
0.9895123796340715,-0.2032933313360935
0.9893071072779761,-0.20527235609536165
0.9890998563076662,-0.2072509703099176
0.9888906271376436,-0.20922917002253294
0.9886794201863668,-0.21120695127680822
0.9884662358762496,-0.21318431011718095
0.9882510746336607,-0.21516124258893346
0.9880339368889225,-0.21713774473820077
0.9878148230763105,-0.21911381261197863
0.9875937336340523,-0.22108944225813124
0.9873706690043269,-0.22306462972539934
0.9871456296332635,-0.225039371063408
0.9869186159709408,-0.2270136623226745
0.9866896284713862,-0.2289874995546164
0.9864586675925746,-0.23096087881155916
0.9862257337964279,-0.2329337961467443
0.9859908275488135,-0.23490624761433718
0.9857539493195441,-0.2368782292694348
0.985515099582376,-0.2388497371680739
0.9852742788150088,-0.24082076736723865
0.985031487499084,-0.24279131592486866
0.9847867261201841,-0.24476137889986682
0.9845399951678321,-0.24673095235210718
0.9842912951354896,-0.24870003234244284
0.9840406265205569,-0.2506686149327138
0.9837879898243711,-0.2526366961857549
0.9835333855522057,-0.25460427216540366
0.9832768142132692,-0.2565713389365081
0.9830182763207043,-0.2585378925649346
0.9827577723915867,-0.26050392911757597
0.9824953029469243,-0.26246944466235916
0.9822308685116561,-0.264434435268253
0.9819644696146508,-0.2663988970052763
0.9816961067887062,-0.2683628259445056
0.9814257805705482,-0.270326218158083
0.981153491500829,-0.2722890697192241
0.9808792401241268,-0.27425137670222577
0.9806030269889443,-0.27621313518247403
0.9803248526477079,-0.2781743412364519
0.9800447176567662,-0.2801349909417473
0.9797626225763891,-0.2820950803770608
0.9794785679707669,-0.28405460562221363
0.9791925544080088,-0.28601356275815515
0.9789045824601418,-0.28797194786697117
0.9786146527031099,-0.28992975703189144
0.9783227657167726,-0.29188698633729765
0.9780289220849039,-0.2938436318687312
